s,I
0.011961961961961962,0.015007137024906967
0.012012012012012012,0.014913693936642996
0.012062062062062062,0.014820254318654375
0.012112112112112113,0.014726832532640137
0.012162162162162163,0.014633442582600019
0.012212212212212211,0.014540098121509562
0.012262262262262262,0.014446812457884496
0.012312312312312312,0.01435359856223615
0.012362362362362362,0.014260469073419576
0.012412412412412413,0.014167436304876086
0.012462462462462463,0.014074512250771791
0.012512512512512513,0.013981708592033817
0.012562562562562562,0.01388903670228576
0.012612612612612612,0.013796507653683975
0.012662662662662662,0.013704132222656222
0.012712712712712713,0.013611920895544225
0.012762762762762763,0.013519883874151614
0.012812812812812813,0.013428031081198766
0.012862862862862864,0.01333637216568596
0.012912912912912912,0.013244916508166333
0.012962962962962963,0.013153673225930007
0.013013013013013013,0.013062651178100796
0.013063063063063063,0.012971858970646883
0.013113113113113114,0.012881304961306794
0.013163163163163164,0.012790997264431999
0.013213213213213212,0.012700943755747486
0.013263263263263263,0.012611152077031566
0.013313313313313313,0.012521629640716165
0.013363363363363363,0.012432383634408947
0.013413413413413414,0.012343421025338353
0.013463463463463464,0.012254748564722936
0.013513513513513514,0.012166372792066059
0.013563563563563563,0.012078300039377208
0.013613613613613613,0.01199053643532105
0.013663663663663663,0.0119030879092954
0.013713713713713714,0.011815960195439202
0.013763763763763764,0.011729158836571654
0.013813813813813814,0.01164268918806356
0.013863863863863865,0.011556556421641988
0.013913913913913913,0.011470765529129269
0.013963963963963964,0.011385321326117453
0.014014014014014014,0.011300228455579157
0.014064064064064064,0.011215491391415882
0.014114114114114115,0.011131114441944768
0.014164164164164165,0.0110471017533248
0.014214214214214213,0.010963457312923376
0.014264264264264264,0.01088018495262425
0.014314314314314314,0.01079728835207775
0.014364364364364364,0.010714771041894207
0.014414414414414415,0.010632636406781516
0.014464464464464465,0.010550887688627695
0.014514514514514515,0.010469527989529352
0.014564564564564564,0.01038856027476692
0.014614614614614614,0.010307987375727516
0.014664664664664664,0.010227811992776264
0.014714714714714715,0.010148036698076889
0.014764764764764765,0.010068663938362485
0.014814814814814815,0.009989696037657137
0.014864864864864866,0.009911135199949274
0.014914914914914914,0.00983298351181752
0.014964964964964965,0.009755242945009793
0.015015015015015015,0.009677915358976427
0.015065065065065065,0.009601002503358028
0.015115115115115116,0.009524506020428857
0.015165165165165166,0.009448427447496396
0.015215215215215214,0.009372768219257865
0.015265265265265265,0.009297529670114347
0.015315315315315315,0.009222713036443229
0.015365365365365365,0.009148319458829652
