s,V_C
2.27022702270227e-8,34.9707991032569
2.2802280228022803e-8,34.91185188795253
2.29022902290229e-8,34.85296359628909
2.3002300230023003e-8,34.79413416936651
2.31023102310231e-8,34.7353635483436
2.3202320232023203e-8,34.67665167443796
2.3302330233023302e-8,34.61799848892598
2.3402340234023404e-8,34.55940393314273
2.3502350235023502e-8,34.50086794848194
2.36023602360236e-8,34.44239047639591
2.3702370237023703e-8,34.38397145839545
2.38023802380238e-8,34.32561083604986
2.3902390239023903e-8,34.26730855098685
2.4002400240024e-8,34.20906454489245
2.4102410241024103e-8,34.150878759511016
2.4202420242024202e-8,34.09275113664509
2.4302430243024304e-8,34.03468161815545
2.4402440244024402e-8,33.97667014596095
2.4502450245024504e-8,33.918716662038506
2.4602460246024603e-8,33.860821108423025
2.47024702470247e-8,33.80298342720738
2.4802480248024803e-8,33.74520356054231
2.49024902490249e-8,33.68748145063638
2.5002500250025003e-8,33.62981703975594
2.5102510251025102e-8,33.57221027022505
2.5202520252025204e-8,33.51466108442539
2.5302530253025302e-8,33.45716942479626
2.5402540254025404e-8,33.39973523383451
2.5502550255025503e-8,33.342358454094445
2.56025602560256e-8,33.28503902818782
2.5702570257025703e-8,33.22777689878371
2.58025802580258e-8,33.170572008608545
2.5902590259025903e-8,33.113424300445985
2.6002600260026002e-8,33.056333717136894
2.6102610261026104e-8,32.999300201579246
2.6202620262026202e-8,32.942323696728124
2.6302630263026304e-8,32.885404145595615
2.6402640264026403e-8,32.82854149125079
2.65026502650265e-8,32.7717356768196
2.6602660266026603e-8,32.71498664548488
2.67026702670267e-8,32.65829434048622
2.6802680268026803e-8,32.60165870511999
2.6902690269026902e-8,32.54507968273921
2.7002700270027004e-8,32.48855721675354
2.7102710271027102e-8,32.432091250629206
2.7202720272027204e-8,32.37568172788893
2.7302730273027303e-8,32.31932859211192
2.74027402740274e-8,32.26303178693375
2.7502750275027503e-8,32.20679125604635
2.76027602760276e-8,32.150606943197936
2.7702770277027703e-8,32.09447879219295
